,group,id,NL-JP,NL-SI,NL-TL,NL-AN,M-JP,M-SI,M-TL,M-AN,comments
10,A,15a89944-4b27-4c86-9c8d-c6346e794fdc,3,1,5,3,2,3,4,1,"Each technique had its advantages in certain questions. I highly preferred timeline over Juxtaposition because the graphs were too small when placed next to each other, the matrices were impossible to decipher."
11,B,172858e8-7087-4555-8a79-33f52f458ff9,3,1,2,1,5,4,1,1,"NL JP: Node links were hard to observe in general. The hold-release function wasn't helpful. Juxtaposition was probably the easiest version of node links to work with.
NL SI: The colored lines (especially because of the low choice of colors) were confusing, and for some graphs, some lines were invisible.
NL AN: This one was useful for only one specific type of task (Calculating degree of one node). Other than that, the maximum time (7 seconds) wasn't enough for most of the tasks.
NL TL: This would be the second easiest one to read. But still not a solution to the complexity of node links.
M JP: Since the index indicator stays the same for each matrix, this one was the most practical one to work with.
M SI: This one was also useful, but requires a bigger screen to obtain information quickly.
M AN: Again, the time slots were too short. A ""pause"", ""previous"" and ""next"" options might make it better, but still there were easier options for each task.
M TL: After changing between timestamps, the indicator gets lost and because of the complexity and the size of the matrix, it's hard to concentrate again."
12,B,19052ccc-9988-4a65-9980-5ffa6c643e0f,2,5,5,2,4,4,3,1,none
13,A,1c38eac1-2587-4d15-8303-f06a8026da3d,4,3,3,3,3,2,3,2,"I liked the integrated breaks. Thoughtful as the test is, for me personally, a focus test too."
14,B,1cf1d8ae-0e92-44c7-b3e2-488adfd0c537,5,2,5,1,2,3,3,1,"(1) For the animations, there was a fade transition effect that caused a slight delay in updating the graphs between time intervals, so for faster animations it was hard to tell which timeframe the image represented. 
(2) It was also a lot of cognitive effort to remember the state of the graphs and refer back to the time interval shown on the left of the screen to see what the current time interval was. It would be better to center the controls in the middle top of the screen, or make it more visible somehow while simultaneously looking at the graphs. 
(3) It was very hard to control the node-link graphs when trying to move vertices around. Maybe that was intentional.
(4) It was most difficult to interpret superimposed node-link graphs because the image was so crowded, and it was hard to move things out of the way. 
(5) I received an error that the possible answers are from 0 to 30, but it still wouldn't allow me to enter zero. 
(6) The session froze or timed out on one question, and I refreshed but it started me on line 2 or 3 instead of line 1. I tried with another browser and it also started me on the next subsequent line. "
15,B,1e091f1b-9f46-48c3-aa02-0bc05c57f8cf,4,2,5,1,4,2,4,1,"Animation makes it almost impossible (or extremely time consuming) to read any non-trivial information from the graph, the node link version is slightly better than the matrix version, but still far from viable. Superimposition is clearly better for the most part, but still suffers from really bad usability - again I prefer node link over matrix. Juxtaposition and timeline are clearly the best options, although it is still quite tiresome to read more complex informations from the graphs. With those two encodings, node link is still generally preferrable for more complex informations, but with more dense graphs the preference will clearly shift towards matrices, simply because informations become unreadable at a certain point."
16,B,21e2e3ac-de98-4036-8589-51907f16ad26,1,5,5,1,5,4,4,1,I don´t understand the meaning behind this evaluation.
17,B,224c8817-b026-4280-b546-04d6cb5388f7,3,2,5,2,4,4,3,1,"Clique Changes in the matrix format in combination with animation were practically impossible. Animation made it harder to count degrees/clique size overall. I found Node Link in combination with the Timeline to be the most readable format, since you could already zoom in to the nodes that concerned you and then jump between the different times easily, without losing focus. Juxtaposition worked best in Matrix Format, since the resulting thick lines in the node link format overlapped often and covered each other up, which made it easy to overlook a single connection."
18,B,22e9d717-c92e-4145-917f-5561159848c8,4,1,5,4,3,2,4,3,"Matrices are in general less readable than Data visualised by nodes. Only in SI Matrices were easier to read than the Nodes, there was too much data between the nodes which made it less readable."
19,B,2e4f721a-71de-465c-97c1-4bd8a4c7a5d4,2,2,2,2,2,2,2,2,"I have no idea what any of the shortcuts in the rating on question 50 stand for, so I am just giving it 2 points each. 

Overall, the clique tasks where very tedious.
Furthermore the graphs with the animations where really poorly implemented, since there was no way to pause is. Combine it with with one of the clique tasks, and you would want to hurt yourself out of frustration. 
The colored time graph tasks where really difficult, when there were to many edges, since they overlapped, and dragging them around only helped temporary, since they wouldnt stay in that position. 
Another thing, on tasks, where you had to calculate stuff, it was really annoying, to focus (css) on the answer field, since you couldn't copy paste the name of a node and ctrl+F search for it in the browser. "
20,B,30a4eb0e-3afe-427a-9677-9c1471836ab8,4,1,4,5,3,2,3,4,The nodelink-Superimposition visualization is really unclear and confusing. 
21,B,31509490-194e-42e9-af14-da442f8a3426,3,5,4,2,2,5,3,1,"Juxtaposition:
Was quite ok, but very awkward in the matrix display.

Superimposition:
Was very pleasant and easy to handle in the matrix as well as in the node link representation. My personal favourite.

Animation:
Was impractical in every respect, sometimes it was too fast sometimes too slow. You could choose the time yourself, but if you had to count several links, for example, and you were too slow in one time frame, you had to wait for all of them again to be able to continue.

Timeline:
Was very flexible, much better than the animation, you could choose when to move to the next timeslice.
"
22,A,3202983f-77f2-4416-9a6f-2c1febdc4675,4,2,5,3,4,3,5,2,see report
23,B,3557be79-5a1a-4e81-b223-d8d811a7c033,3,4,3,2,2,2,3,1,"Especially animation was very difficult, because it changed a lot and was usually hard to follow."
24,B,38f2d0e9-3956-48d7-9cd6-176bea3f228f,3,5,2,1,1,1,4,2,The matrix visualizations we're very unclear and it was easy to lose the correct line even with the highlighting tools. it would be good to let a user highlight the stuff that is impacting their task permanently instead of just giving an overlay on hover. 
25,B,3c78d064-0110-4125-9e7b-00b645c72eab,2,1,4,3,4,4,5,2,"In my opinion, all the examples containing cliques were very difficult to do and it took me a long time to complete them. Furthermore, I was very often unsure whether the solution was right. With these examples I found it easier to use the matrices. Furthermore, it was almost impossible to find the solution via the animations, as there was far too little time.
The examples with the relations were by far the easiest for me and I was able to complete them well for every type of graph. Since only one relation was asked, this could be recognized in graphs just as well as in the matrices.
The degree examples were also feasible in all graphs, whereby graphs with a large number of lines were challenging. The relationships were far easier to recognize in matrices.
In general, it was very difficult to see something in graphs with many relations. This was not the problem with matrices. Furthermore, I also found the superimposition and the timeline to be the best way to find the solution."
26,A,3d4e139f-a036-40ff-96f8-7715aac9b5d1,2,5,3,4,4,3,1,1,Cliques from matrices - especially animated and timeline was very hard. Not being able to pause makes it even harder.
27,B,40acd98a-cd00-46b7-a727-4b10379241d7,2,2,4,1,1,4,4,2,It would be appreciative to be able to permanently highlight nodes (both in NL & M)
28,B,40ec582a-987a-4135-af15-2c273b27ae87,3,1,4,1,5,5,2,1,"First of all, the consent form displays an expected survey time of 30 minutes, the tasks were far too complex for this. Personally, it took me 2 hours to manage to complete this survey, even though i skipped out on the most complex ones (maximum cliques over a large graph are a hard problem, especially talking about temporal changes). This was also due to the fact that the study suddenly reloaded after i was halfway through with it and i had to do everything over again.

Secondly, there were some pointless and outright weird questions in there, but i assume this is by choice.

On one instance I entered 0 as a result and it got rejected with the message, that valid answers are in the 0-30 range. I consider this weird behavior.

Also, the graph visualization could have been better: Dragging nodes around would not work and would instead make them snap back into position while additionally making the whole graph wiggle and reorder. Also, the information density was far too high with font frequently overlapping even gray graphes (it was even worse for SI, for obvious reasons).

Finally, the rating is a bit problematic: It hugely depends on the type of tasks which technique is best."
29,A,479e65b9-b9d6-4d01-bb8e-ba919e769fa7,3,5,4,1,3,3,4,2,the animation graphs where really hard as there was no option to pause the animation or switch between different timestamps
30,B,4de3fb6d-c96d-41dd-bcef-6111dbe3095e,4,3,5,1,2,1,2,1,"The matrices had been very hard to read, no matter which technuiques were in use.
Cliques were always hard to find."
31,A,4f1fb325-07f5-4426-bc7b-9f9b0f95bc8a,4,4,5,3,2,3,3,1,"My least preferred tasks were those with large matrixes where you had to find and count several combinations (e.g. find largest cliques or even track changes across clique size). This became basically impossible and extremely exhausting with animations, since there was not enough time to focus and count without being able to pause the animation, and juxtapositions, as the large matrixes became so small that I could barely find the combinations, despite working on a 32'' screen. I think across the variety of tasks, the graphs with timelines were the most simple and eye-friendly variety."
32,B,4faecf20-619a-4628-a622-57ffe9ef1751,3,4,4,2,2,3,3,1,"Overall, I disliked the Animation Technique the most due to the fact, that you could not pause the animation. Especially for graphs with such high numbers of nodes, it is just very difficult for the reader to instantly find the nodes of the task, even worse with time pressure. It does a little bit better with Node-Link representation, if you have memorized the placements of your needed nodes, but is still kind of unhandy. The other techniques do better, whereat it depends on the task, which one is better. For finding the absolute number of changes, the Node-Link representation I always favored than the Matrix representation, personally I could never see how the nodes where connected in the Matrix represenation, I always had to use a sheet of paper to visualize the connections as a node-link-graph."
33,B,4fe5fc79-1a43-4052-869a-43e9ef8c8335,2,3,4,4,2,5,5,3,"At first i was confused, because i didnt know what to do exactly, but after the first few question I understood more."
34,B,500b623c-8908-4739-9fe3-14e5019de194,4,4,3,2,3,5,3,2,I am not sure if i understood the clique change questions
35,B,51f28cc5-797e-489a-b4f3-545e47dec783,5,3,5,4,2,2,4,5,Ability to pause the animation would be helpful; Node-Link Superimposition: Ability to spread the nodes more to better identify different edges (sometimes they were overlapping a lot)
36,B,52da7abf-4cac-4263-9541-8de8c9bafd5f,2,3,5,4,5,3,3,1,The jiggly Nodes in the Node Link Graphs were difficult to properly adjust. Otherwise a nice experience!
37,B,603f9c2d-0a24-4dba-bf49-1a66bbb9437d,4,2,5,3,1,1,1,1,"I liked the NL with a TL the most, as it allows one to scroll through time and re-watch changes one wants to track. This is why I didn't like the Animation as much, as it doesn't allow one to control time and therefore one has to re-watch the whole animation.
The NL JP is the second best option in my opinion, as it allows one to freely move around in time (just like the TL). However, it has the disadvantage that it does not allow for one to stay zoomed in on a part of the graph while moving through time like the TL does.
The one NL I didn't like as much was the SI, as it's thick edges always occluded some other edge that I needed to analyze. Once the edges didn't occlude another anymore it was quite easy to read the needed information, though not as easy as NL TL.
I absolutely hated the Matrix visualizations in all of their variations. Essentially, to read any information from the matrix, I had to reconstruct the graph from the matrix and then gather the needed information. The NL is a lot more intuitive and doesn't have to be decoded like the matrix."
38,B,62faa1cd-cd16-419f-8508-3b1628bf039d,4,4,4,3,2,3,2,1,Some of the tasks truely feel like torture to me - especially when featuring animated Matrices 
39,B,63b3a2cd-50df-45ec-9a9b-be4ad3f4d1d2,3,2,5,3,4,4,3,1,"I feel, the different methods have different advantages for different tasks though in general I felt that animation was mostly usefull if you had to get a quick grasp of something. It was practically useless for counting tasks, especially in M.
Timeline was my overall favourite since it allowed me to directly compare timesteps with each other. Though in the matrix representation it was quiet easy to loose track of where I was when I had to change the timestep.
SI was really confusing for some of the NL tasks but really usefull for many of the M tasks. 
JP was solid in both cases, though I felt it didn't really shine in any for comprehensibility. 
One thing I feel would have been highly benefical in every method, especially in for JP in M would have been the possibility to select fields as that would have made comparrison sooo much easier. 
Everything clique related was easier to understand in NL view in my opinion."
40,B,78b9a69e-7ab0-4c26-bb02-21125956bd0a,3,2,5,4,3,3,5,2,"I think it mostly depends on o the task that needs to be completed. For some more complex tasks such as finding the biggest clip size or calculating the absolute change in the clip size, the representation through linked nodes is far superior to the matrix representation, especially when combined with a time slider (Animation and Juxtaposition are nice too, but Superimposition tends to be too messy). On the other hand, finding a degree of a node or tracking its absolute change tends to be faster with a matrix representation, especially in dense graphs. Superimposition tends to be the messiest approach, but it does provide good results with graphs that are not dense, or when looking at a behaviour of a single node through time. "
41,B,86bfd834-db2c-44ee-8300-8f182be02533,2,2,4,1,2,2,4,1,"I'm not the person who gets angry quickly but this task really got on my nerves. Everything is just so frustrating to do and often I dont even know what you want me to do. For me everything was bad, which doesnt really represent my ratings above but if I had to rank from the shittiest to the least shittiest, these stars would make a good fit. I'm terribly sorry if my answers are often not the right ones. I was tilted from the middle of the survey up to the end. But maybe this is some use for you. "
42,B,8de5812d-f89c-4300-8414-14573fae07f3,5,4,5,1,3,4,3,1,"I really hated the animations, it's not possible to focus and the 7 seconds are in most cases way too little time, the other once worked fine. The Juxtaposition stuff next to each other and the Timeline on the Node Model worked best for me"
43,B,978e1d74-c8c4-43fd-97b2-402b7695bd05,5,2,4,1,5,4,5,1,"The animation was for both Matrix and Node-Link extremely hard. I had to screenshot every timestamp to look at the different connections between the nodes. The superimposition was not very readable for NL since there were so many nodes but quite good for the Matrix, as long as there are not more than 3-4 timestamps. The Juxtaposition always felt handy and nice to work with."
44,B,9c196728-cb7e-400f-b32d-2c096d81f442,1,4,3,1,4,5,4,2,"Overall I think the matrix visualization is better than node link because it is way easier to spot the realtion between them. That is why for all 4 techniques I rate Matrix over Node Link.
Furthermore the timeline and the superimposition tasks where the easiest to solve because of the color bars it was much easier to spot the relations. The Animation was overall the hardest one to do. Sometimes it took several tries to count everything. 
When it comes to Juxtaposition and Nodelink it was barely possible to count the links even when dragging the nodes around."
45,B,9c73fed2-516a-47dc-a0eb-6e939951fd1f,3,4,4,3,2,1,1,1,"JP, SI, AN, TL, NL, M are not well known - just write the names out and its not confusing for the reader.
This survey feels like a huge waste of time because of the tasks where you have to find the change in the maximum clique size takes very long with matrices.
The animations just make the task harder when used with matrices as it is impossible to track all changes."
46,B,9ebd0190-9e12-4ff5-98f6-f86d5c29c78d,4,2,5,2,3,3,4,1,"The abbreviations used on this page are not as common as you might think. Without actively searching for it in the slides (and hoping that I interpreted them right) I would not have known what these letters above mean. It took me a solid 4 to 5 minutes to find out what M and NL stand for.

About the study: The tasks got very repetitive very quickly. In the end, it was really hard to focus and it felt more like a concentration test than a study for visualisation techniques. "
47,B,9f73c672-a28f-4f05-9987-22a51be7e5ec,2,4,5,2,2,4,5,1,"The NL's were, in most cases, highly unreadable. This was further exagerated in the SI visualization. It would be helpful to be able to manually move the individual nodes without the whole graph bouncing around. As for the AN visualization, a wider range of time as well as an addition of a pause button would be welcome in my opinion. Loved the 2+2 questions."
48,B,a527986f-5f72-41c5-8494-9943e7213b72,3,2,5,5,4,2,5,5,"The clique tasks in combination with Matrices were the hardest. I found figuring out the clique in Node-Links easier.
Degree tasks worked well with both NL and M. It was more pleasant to work with animation and timeline view in the context of degrees.
"
49,B,a7dbe71e-8169-4dfa-becb-7303566413e5,3,4,4,4,1,2,3,2,calculating the change in the macimal cliques in a Matrix seemed way too hard for me
50,B,a8253166-f7c4-4ebd-b457-a3baed685be6,3,4,5,1,,3,3,,"Question 25 (I think ... the one with the worst confidence rating) seems to have no valid answer.

having no control over the animation is really bad when trying to solve this tasks

having not all time slices super imposed is nice for the node-link representation, since the graph is more easily parsable. Using the timeline in this case is perfect, since it keeps the node in place (on the screen) and changes can be easily read.

for the matrix it is easier to see all information at once (SI), since it's hard to keep track of changes

having no control over the animation, or having the time slices positioned next to each other is hard when trying to see what's going on"
51,A,aa1336c6-0e18-41d1-b976-f7119bf7e9f2,4,2,5,1,3,2,4,1,"Animation is the worst, had to take screenshots to work with."
52,B,aaaac871-71b8-4180-a4fb-8028260c9bd5,2,3,5,4,3,3,5,4,"if you have to compare two points in time it is usefull, but if one have to cpompare multible points its gets dificult to find evereything. 
SI is usefull to find max decre, but can get very crowded in some cases wich is not very usefull.
AN TL are bothe very useflull and practical. the downside with an ist the time is constantly evolving. so one have to hurry"
53,B,b1db6112-8144-433e-98c2-a89f1c5516d7,4,4,5,1,3,3,4,1,Animation was super exhausting to complete without being able to stop the animation. Timeline imo is just the better animation. NL on average of the use cases is more handy but matrix does accell in some questions aswell.
54,B,b998c460-ce32-4abf-a6c8-d96caf7284c9,5,2,5,3,3,2,2,1,"NL, JP: easy to read
NL, TL: easy to read
NL, SI: easy to read if the knot doesn't have too many degrees. otherwise very difficult to read 
NL, AN: it is annoying when it switched automatically, but with the NL there was enough time 
M, JP: for me, Matrix was generally harder to read, but Matrix with Juxtaposition is the easiest because you can see all of the views at once with the mark 
M, SI:  harder to read then NL
M, AN:  it is annoying when it switched automatically and also it is not enough time to look at the relevant entries 
M, TL: harder to read then NL"
55,A,b9a558aa-65ab-4468-99d7-b34e13740ae0,3,1,5,2,4,3,5,1,"Superimposition in Node-Link diagrams was very hard to read, in Matrix diagrams it was much easier. The Animation made things really hard because it went too fast and you could not pause it. I really liked the timeline feature because it was very easy to switch between timesteps and see the differences. I also liked Juxtaposition, altough it was not as easy to spot differences, especially in the Node-Link diagrams."
56,B,c4636b58-6a82-4efd-8afa-485a6a3430cf,4,3,4,2,2,4,3,1,"Change the abbreviations to the full names. (NL=Node Link, M=Matrix, JP=Juxtaposition, SI=Superimposition, AN=Animation, TL=Timeline). The given star ratings are based off on these interpretations."
57,B,c50b7807-e77a-423f-bfe2-249f600a6498,2,2,2,2,2,2,2,2,hard to see anything
58,B,c9ee7314-4710-4d37-9253-3b446850b5db,4,5,5,3,5,4,5,2,"I found the user study was very time consuming, especially for the calculation of the clique size I needed in my opinion too much time.
I don't know if it was intended, but it was sometimes a problem that you can't stop the animation."
59,A,d0fe44d9-8816-4aea-99f8-a613c4c74fde,4,1,4,1,2,3,2,1,"It is near to impossible to distinguish between the colours in NL SI. It actually gave me a headache. Timeline examples sometimes were very easy to distinguish but if the information only varied by a little bit it was very frustrating to count within the 7 second limit. I found it hard to concentrate throughout the whole test, even with some lengthy breaks. About 7 graphs did not load and I was not able to answer those questions, upon reloading I had to start the test again the first time which was frustrating. I marked the graphs that I could not see with 1 star confidence. "
60,B,d5955ba3-7b8c-4c62-8bd4-34bf2fb0917a,4,3,5,3,3,2,2,1,"Personally Node-Linked visualizations are easier to analyze than Matrix visualizations. 
Having all Timesteps in the same visualization (Superimposition) is way worse for Matrices than for NLs. While I don't think there is a big difference between Juxtaposition and Timeline represantations I liked the Timeline ever so slightly more.
Matrices, especially large ones, are very time consuming to analyze compared to a graph where one directly sees a edge between two vertices."
61,B,d5d47990-2fbb-4eed-b467-f49476866cd0,5,2,5,2,5,2,5,2,"The animation was stressful for counting nodes, cliques etc. Easiest to read were JP and TL. 
Unfortunately I don't know what NL and M stands for that's why I gave the same rating. "
62,A,d62df781-2a6e-4407-8f4b-5cadc071292e,4,2,5,1,4,4,5,1," ""JP, SI, AN and TL"" and ""NL and M"" could have just been typed out instead of abbreviated, it took me some minutes to understand the question and there is enough space to not abbreviate it. Apart from that I found the animations very hard in some cases because if you have to count 20 nodes and the maximum animation time is 7 seconds it's very cumbersome to remember where you stopped and wait until the right timestamp appears again. Timeline to me is the same as animation, with the huge advantage of being able to decide when I'm ready to advance to the next timestamp. Superimposition was kind of hard to read when there are many nodes in the node-link diagram. Juxtaposition was alright for me in both cases."
63,B,dc594793-128c-406d-9283-d672d244e20c,4,1,5,1,3,5,4,4,"The Superimposition Nodelink Graphs were sometimes completely unreadable, even when i tried dragging the around as much as possible, the colours just blended together too much for me to understand which nodes were connected. The Matrizes didnt have this problem. 
"
64,B,e207e91b-f772-486c-bc7e-8ad924a50598,4,2,4,2,5,4,3,1,"- The animation type exercises where very stressful, especially the first times I had to work with it
- The superimposition exercises in matrix format had a quite good readability. In the graph type exercises though I had a difficult time to catch every information due to visual cluster."
65,B,e2c31d42-78eb-43ae-bb5b-e8ed9b67f264,3,3,5,2,3,3,4,1,"The first trick question threw me off hard.
the ""find the greatest clique accross all timestamps"" are incredibly frustrating to work through. One need's external tools and without marking points it can be quite nerve-wracking
the sumperimposition tasks were quite nice but sometimes the overlap between the lines made it very hard to find the answer even when knowing exactly what to look for.
i realise the need for the naming scheme but some questions became a lot harder than they would have been with simple A,B,C,D... names. (having to remember what nodes this task asks for)
the question design - explaining how to sum up the absolute change every time - made it harder to actually read the question, which is why i think more people will fall for the trick questions."
66,A,e52573b2-d900-486a-8a2e-55b5ff069846,2,1,2,1,3,4,2,1,I am not sure if it was meant to be so hard to read the combination of NL and SI. 
67,A,ec87d139-2ea1-4d39-8da9-e19882a8ef19,3,4,4,3,2,3,2,4,I think its hard to find cliques in the NL graphs with multiple colors for the time steps becuse they intersect in some parts... the structural graphs were nice and easy to read i think.
68,A,f357cda5-2402-4fd5-93ff-d8d6ed2a566d,4,3,4,3,4,3,4,3,the continuous animation part was by far the most difficult
69,B,f5961ca1-0be0-4146-803f-961add27e330,,3,5,4,,,4,2,"Juxtaposition was very hard to get the right answers especially on questions of ""calculate the absolute number of changes..."" or ""when does the clique between ... appear first"" type.
Animations were quite good to get but when there were a lot of changes a timeline would be better."
70,A,f6e2f246-d8cb-4b6e-9aad-e1c5a21d0af1,3,3,4,1,1,4,5,2,"Animation was hard to count on. I liked the Node Links overall a lot more than reading the data from a matrix. Half way in I thought about bringing a ruler so it would be easier on the matrix. 
As for the graph encodings I liked the timeline a lot. It was easy to navigate and very intuitive. I really disliked the Animation though. With a feature like a pause button for example it would have been a lot easier to answer these specific questions.
Juxtapostion and Superimposition had both it's positive and negative points. "
71,B,f7d50be8-6102-4e5c-abf2-b5a05bc1c168,5,2,4,3,3,5,2,1,"this have been more than 2 very exhausting hours, you could reduce the number of nodes at least a bit
and here in number 101. you could also write out the abbreviations, since you never mentioned these abbreviations anywhere, neither in the lecture slides nor in the readme, took me some minutes to get it.
"
72,B,f81817ac-49cb-47ed-a599-6b9ba011360d,5,5,4,2,5,4,3,1,JP can always work but it doesnt mean that its the best for every type of problem; AN could work better if you either give it more time or add animation smears (refers to extra drawings that show the motion between the trastions)
73,A,fcca82e0-6fea-4339-8f9b-836747418172,4,2,4,2,2,5,4,1,"Animation was very annoying, it just felt like missing the pause button, which TL provided basically. JP was hard to compare on Matrixes, but I liked it on graphs, while SI was the other way around as it got very hard to read on the graphs."
74,A,fd0eab90-ea5f-48cf-9796-8115762f1f51,5,2,3,1,4,2,3,3,"the animation, where you couldn't control when the switch to the next timeslice happened, was quite frustrating at times, the timeline is a far superior alternative. Over all the node-link graphs were far better than the matrices. The superimposition graphs got quite crowded, espacially the NL-SI was sometimes impossible to read. Juxtaposition is also perfectly fine, although as said, timeline is in my opinion the best option."
75,B,ffadb36b-5051-4684-b9cf-ed767a599434,1,2,4,2,1,2,2,1,"The Exercises were very taxing for my eyes, after only around 10-15 of them my eyes started to hurt. Trying to find cliques around multiple graphs was incredibly exhausting due to the number of edges that need to be checked."
